"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.38375979849133,0.609,0.249,0,"6","Grm2"
0,1.27116406107735,0.599,0.247,0,"6","Hrh2"
0,1.43708079463146,0.484,0.133,0,"6","Fzd8"
0,1.78833740665175,0.481,0.145,0,"6","Htr7"
0,0.888646269614614,0.95,0.619,0,"6","Syt4"
0,0.451881366720656,0.828,0.513,0,"6","Gpr158"
0,0.582001656227412,0.759,0.445,0,"6","Epha7"
0,1.9666160787552,0.988,0.674,0,"6","Gabbr2"
0,0.770305025482648,0.914,0.604,0,"6","Grin2b"
0,1.32105696208518,0.96,0.65,0,"6","Epha4"
0,1.14843509164259,0.748,0.441,0,"6","Adrb1"
0,1.10381367748692,0.925,0.619,0,"6","Gpr162"
0,0.635604433607993,0.668,0.369,0,"6","Tmem108"
0,0.835999494061202,0.641,0.352,0,"6","Gpr61"
0,0.724609633894005,0.67,0.389,0,"6","Lgr4"
0,0.494395588853553,0.891,0.61,0,"6","Grm7"
0,1.06841819895715,0.457,0.181,0,"6","Epha3"
0,2.3787973305123,0.36,0.087,0,"6","Adgrf2"
0,1.20010995606863,0.984,0.711,0,"6","Cx3cl1"
0,1.82120185451155,0.311,0.043,0,"6","Fzd10"
0,0.288713316938888,0.853,0.586,0,"6","Adora1"
0,0.67227371817483,0.473,0.217,0,"6","Gpr176"
0,1.10204744862495,0.356,0.101,0,"6","Gpr4"
0,0.78900420095943,0.41,0.169,0,"6","Amigo2"
0,2.81081347734883,0.277,0.041,0,"6","Epha8"
0,0.506003469914294,0.935,0.705,0,"6","Celsr2"
0,0.669281789477647,0.395,0.167,0,"6","Alk"
0,0.329079279163421,0.915,0.697,0,"6","Adgrb1"
0,0.824878492161362,0.346,0.135,0,"6","Fzd1"
0,0.491492266758613,0.945,0.741,0,"6","Adgrl1"
0,0.605678063582401,0.491,0.288,0,"6","Epha10"
0,1.49401324523129,0.266,0.07,0,"6","Lgr5"
0,0.344176482351166,0.48,0.293,0,"6","Ephb2"
0,0.346748087513348,0.528,0.343,0,"6","Gpr75"
0,1.4796046138787,0.266,0.086,0,"6","Ptger3"
0,0.893022886533295,0.278,0.12,0,"6","Mrgpre"
0,0.351312468544941,0.291,0.149,0,"6","Htr2c"
0,0.419147198425409,0.374,0.233,0,"6","Gpr135"
0,0.314692307370043,0.395,0.257,0,"6","Celsr3"
0,0.474302914096737,0.322,0.204,0,"6","Sstr3"
0,1.32895692485242,1,0.942,0,"6","Gabbr1"
0,2.68946530286218,0.883,0.167,0,"7","Slc32a1"
0,3.54092936993328,0.99,0.291,0,"7","Gad1"
0,3.51559667608421,0.906,0.352,0,"7","Erbb4"
0,2.81322263662215,0.677,0.153,0,"7","Alk"
0,2.67305499674139,0.645,0.21,0,"7","Gpr176"
0,2.23394637876624,0.606,0.197,0,"7","Adra1a"
0,1.04264546095757,0.836,0.447,0,"7","Epha6"
0,0.899322028300882,0.756,0.384,0,"7","Hrh3"
0,0.890427036336307,0.927,0.595,0,"7","Grm5"
0,2.70643448090638,0.723,0.394,0,"7","Cnr1"
0,0.561583874991396,0.926,0.607,0,"7","Grin2b"
0,1.28346456958113,0.561,0.253,0,"7","Hrh2"
0,0.506762748994709,0.818,0.518,0,"7","Gpr158"
0,3.8696254064538,0.398,0.117,0,"7","Kit"
0,0.995994123775784,0.442,0.165,0,"7","Drd1"
0,2.50246781699115,0.409,0.136,0,"7","Oprd1"
0,0.677127589005242,0.876,0.608,0,"7","Adcyap1r1"
0,0.456562095619794,0.651,0.387,0,"7","Chrm3"
0,0.317335110678699,0.754,0.495,0,"7","Ackr1"
0,1.81657848971836,0.409,0.153,0,"7","Gpr83"
0,0.526322553780467,0.73,0.476,0,"7","Adgra1"
0,0.511717026007867,0.526,0.272,0,"7","Sstr4"
0,1.63552091553657,0.423,0.169,0,"7","Flt3"
0,0.802750105917913,0.61,0.357,0,"7","Gpr61"
0,0.660395868345248,0.868,0.615,0,"7","Ntrk3"
0,0.338385836714542,0.966,0.715,0,"7","Cx3cl1"
0,0.616803401566771,0.874,0.625,0,"7","Gpr162"
0,0.705864849940167,0.804,0.556,0,"7","Adgrl3"
0,0.517289797119102,0.921,0.682,0,"7","Gabbr2"
0,0.699776682863963,0.516,0.289,0,"7","Epha10"
0,0.621013446281385,0.869,0.642,0,"7","Adgrb3"
0,1.24552171893873,0.411,0.187,0,"7","Epha3"
0,0.26797419263942,0.902,0.683,0,"7","Lmtk2"
0,0.324409571083057,0.92,0.709,0,"7","Celsr2"
0,0.936861848051316,0.434,0.227,0,"7","Epha5"
0,0.300953277942408,0.753,0.546,0,"7","Ephb6"
0,1.18084780095097,0.332,0.131,0,"7","Htr2a"
0,0.600093426966793,0.543,0.344,0,"7","Gpr75"
0,0.881133296600729,0.429,0.232,0,"7","Gpr63"
0,0.781625300200944,0.451,0.255,0,"7","Celsr3"
