"cell","center_x","center_y"
"cell502",741.192128423601,-3496.90177202225
"cell503",803.50813004002,-3503.86777220294
"cell504",685.572126980871,-3609.22177493572
"cell505",789.252129670233,-3641.24377576634
"cell506",851.568131286651,-3654.63577611372
"cell507",722.184127930552,-3589.67377442867
"cell508",765.816129062325,-3500.7357721217
"cell509",743.568128485233,-3542.20777319744
"cell510",794.112129796296,-3524.49577273801
"cell511",848.814131215215,-3578.11777412891
"cell512",688.812127064914,-3489.39577182755
"cell513",698.964127328247,-3627.09577539936
"cell514",794.058129794896,-3605.92777485028
"cell515",783.366129517555,-3522.49777268618
"cell516",692.754127167165,-3571.90777396783
"cell517",674.286126688123,-3571.25977395102
"cell518",664.18812642619,-3489.50377183035
"cell519",739.302128374577,-3571.15177394822
"cell520",828.942130699754,-3518.71777258813
"cell521",850.596131261438,-3596.53177460656
"cell522",834.558130845428,-3570.23377392441
"cell523",784.932129558176,-3582.97777425498
"cell524",715.596127759665,-3684.76777689531
"cell525",781.746129475534,-3660.25177625939
"cell526",849.94813124463,-3559.05577363446
"cell527",756.852128829807,-3546.09577329829
"cell528",846.114131145179,-3572.50177398324
"cell529",802.266130007803,-3643.83577583358
"cell530",693.294127181172,-3631.63177551702
"cell531",813.984130311757,-3480.86917160638
"cell532",751.452128689736,-3655.93177614734
"cell533",846.006131142378,-3509.32177234441
"cell534",764.520129028708,-3538.31977309659
"cell535",861.828131552786,-3556.57177357003
"cell536",794.544129807502,-3691.89037708007
"cell537",848.274131201208,-3634.11577558145
"cell538",736.926128312945,-3612.29977501556
"cell539",713.598127707839,-3559.91977365687
"cell540",816.954130388796,-3666.19177641347
"cell541",822.354130528867,-3583.40977426618
"cell542",758.904128883034,-3603.49777478725
"cell543",700.584127370268,-3668.94577648491
"cell544",681.036126863211,-3516.66577253491
"cell545",706.308127518743,-3506.35177226737
"cell546",699.450127340853,-3566.77777383476
"cell547",746.363133557141,-3849.33825836331
"cell548",796.421134855598,-3801.06225711107
"cell549",771.743134215474,-3834.16425796971
"cell550",714.34113272652,-3893.72085951455
"cell551",684.749131958932,-3743.17425560951
"cell552",787.943134635687,-3794.15025693178
"cell553",716.177132774144,-3699.81225448474
"cell554",710.885132636875,-3715.95825490355
"cell555",683.615131929517,-3789.66825681552
"cell556",841.727136030793,-3774.17025641352
"cell557",821.855135515332,-3728.81025523692
"cell558",755.273133788258,-3738.53025548905
"cell559",683.939131937921,-3846.63825829327
"cell560",704.297132465988,-3733.72425536439
"cell561",670.439131587744,-3893.39685950615
"cell562",721.577132914215,-3760.94025607035
"cell563",839.243135966361,-3748.89825575799
"cell564",819.587135456502,-3887.1382593438
"cell565",749.171133629978,-3886.22025931999
"cell566",677.567131772637,-3711.20625478029
"cell567",825.257135603577,-3706.13025464863
"cell568",703.865132454783,-3712.55625481531
"cell569",788.9151346609,-3711.3682547845
"cell570",730.163133136928,-3750.1942557916
"cell571",770.339134179056,-3701.86425453797
"cell572",747.713133592159,-3869.96625889838
"cell573",752.573133718222,-3842.15625817701
"cell574",734.537133250386,-3723.57225510105
"cell575",715.367132753134,-3752.67825585604
"cell576",687.989132042974,-3834.11025796831
"cell577",791.399134725332,-3850.09425838292
"cell578",817.751135408878,-3748.89825575799
"cell579",743.717133488506,-3709.96425474808
"cell580",821.099135495722,-3869.42625888437
"cell581",760.403133921325,-3761.53425608575
"cell582",776.333134334534,-3894.53085953556
"cell583",748.685133617371,-3877.63425909728
"cell584",738.371133349836,-3744.57825564593
"cell585",721.739132918417,-3828.44025782123
"cell586",703.109132435173,-3779.67825655639
"cell587",747.82113359496,-3762.66825611517
"cell588",732.539133198559,-3783.94425666705
"cell589",774.173134278506,-3740.25825553387
"cell590",765.101134043187,-3877.41825909168
"cell591",672.005131628364,-3730.32225527614
"cell592",759.377133894712,-3870.61425891519
"cell593",768.773134138435,-3719.4142549932
"cell594",789.185134667903,-3784.91625669226
"cell595",844.481136102229,-3792.53025688976
"cell596",679.133131813258,-3862.08225869387
"cell597",841.565136026591,-3764.01825615019
"cell598",683.669131930918,-3825.57825774699
"cell599",831.899135775864,-3732.69825533778
"cell600",792.101134743541,-3818.0182575509
"cell601",858.839736474678,-3848.15025833249
"cell602",733.025133211166,-3850.47225839272
"cell603",673.895131677389,-3700.67625450715
"cell604",739.073133368045,-3691.92825428024
"cell605",830.81913574785,-3854.14425848797
"cell606",716.771132789552,-3794.42025693878
"cell607",740.261133398861,-3770.22825631127
"cell608",809.003135181963,-3827.68425780162
"cell609",698.573132317513,-3801.49425712228
"cell610",815.267135344446,-3776.92425648496
"cell611",717.473132807761,-3864.2422587499
"cell612",810.623135223985,-3761.15625607595
"cell613",694.495103038847,-3943.30257785693
"cell614",724.897103827447,-3974.02857865393
"cell615",797.581105712801,-3998.59857929125
"cell616",697.195103108883,-3931.42257754877
"cell617",648.919101856649,-3922.62057732046
"cell618",758.593104701489,-4045.57858050987
"cell619",784.351105369627,-4097.08918184601
"cell620",764.047104842961,-3968.25057850406
"cell621",746.767104394734,-4062.26458094269
"cell622",722.251103758812,-4065.50458102673
"cell623",776.845105174929,-3925.5365773961
"cell624",741.205104250461,-4060.64458090067
"cell625",830.19710655883,-3928.23657746613
"cell626",701.677103225142,-3995.89857922122
"cell627",737.533104155213,-4008.26457954198
"cell628",700.165103185922,-3947.83857797459
"cell629",808.543105997145,-3990.60657908395
"cell630",701.839103229344,-3974.83857867494
"cell631",838.405106771737,-4019.76657984033
"cell632",826.795106470585,-4075.60258128867
"cell633",711.343103475869,-3941.68257781491
"cell634",798.121105726808,-4015.17657972127
"cell635",711.289103474468,-3994.3325791806
"cell636",809.785106029361,-3970.89657857269
"cell637",773.659105092287,-4052.86858069897
"cell638",709.453103426844,-4036.45258027315
"cell639",705.133103314787,-3993.63057916239
"cell640",685.045102793723,-4087.32058159262
"cell641",753.463104568422,-3900.91257675737
"cell642",731.053103987128,-4061.83258093148
"cell643",777.601105194539,-4005.13257946074
"cell644",831.061106581241,-3921.10857728124
"cell645",783.05510533601,-4051.62658066675
"cell646",675.541102547199,-3945.30057790875
"cell647",744.067104324698,-3925.26657738909
"cell648",758.053104687482,-4020.90057986975
"cell649",748.279104433954,-4059.24058086425
"cell650",699.679103173316,-4029.59458009526
"cell651",695.197103057057,-3908.31057694927
"cell652",650.593101900071,-3987.69057900831
"cell653",790.831105537713,-4037.10058028996
"cell654",713.071103520691,-4060.75258090347
"cell655",816.589106205851,-4029.70258009806
"cell656",767.233104925603,-4087.10458158702
"cell657",745.255104355514,-3908.74257696047
"cell658",731.431103996933,-4083.75658150017
"cell659",841.051106840372,-4077.49258133769
"cell660",685.153102796525,-4033.91458020732
"cell661",745.039104349911,-3948.4865779914
"cell662",774.415105111897,-3951.13257806003
"cell663",746.767104394734,-4014.96057971567
"cell664",732.133104015142,-4033.48258019611
"cell665",796.933105695993,-4044.66058048606
